,011,011_구직,011_채용,012,012_구직,012_채용,013,013_구직,013_채용,015,015_구직,015_채용,016,016_구직,016_채용,022,022_구직,022_채용,023,023_구직,023_채용,024,024_구직,024_채용,025,025_구직,025_채용,026,026_구직,026_채용,027,027_구직,027_채용,028,028_구직,028_채용,029,029_구직,029_채용,031,031_구직,031_채용,032,032_구직,032_채용,033,033_구직,033_채용,110,110_구직,110_채용,121,121_구직,121_채용,122,122_구직,122_채용,131,131_구직,131_채용,132,132_구직,132_채용,133,133_구직,133_채용,134,134_구직,134_채용,135,135_구직,135_채용,136,136_구직,136_채용,140,140_구직,140_채용,151,151_구직,151_채용,152,152_구직,152_채용,153,153_구직,153_채용,154,154_구직,154_채용,155,155_구직,155_채용,156,156_구직,156_채용,157,157_구직,157_채용,158,158_구직,158_채용,159,159_구직,159_채용,211,211_구직,211_채용,212,212_구직,212_채용,213,213_구직,213_채용,214,214_구직,214_채용,215,215_구직,215_채용,221,221_구직,221_채용,222,222_구직,222_채용,231,231_구직,231_채용,232,232_구직,232_채용,301,301_구직,301_채용,303,303_구직,303_채용,304,304_구직,304_채용,305,305_구직,305_채용,306,306_구직,306_채용,307,307_구직,307_채용,411,411_구직,411_채용,412,412_구직,412_채용,413,413_구직,413_채용,414,414_구직,414_채용,415,415_구직,415_채용,416,416_구직,416_채용,420,420_구직,420_채용,511,511_구직,511_채용,512,512_구직,512_채용,521,521_구직,521_채용,523,523_구직,523_채용,524,524_구직,524_채용,531,531_구직,531_채용,532,532_구직,532_채용,541,541_구직,541_채용,542,542_구직,542_채용,550,550_구직,550_채용,561,561_구직,561_채용,562,562_구직,562_채용,612,612_구직,612_채용,613,613_구직,613_채용,615,615_구직,615_채용,616,616_구직,616_채용,617,617_구직,617_채용,621,621_구직,621_채용,622,622_구직,622_채용,623,623_구직,623_채용,624,624_구직,624_채용,701,701_구직,701_채용,702,702_구직,702_채용,703,703_구직,703_채용,704,704_구직,704_채용,705,705_구직,705_채용,706,706_구직,706_채용,811,811_구직,811_채용,812,812_구직,812_채용,813,813_구직,813_채용,814,814_구직,814_채용,815,815_구직,815_채용,816,816_구직,816_채용,817,817_구직,817_채용,821,821_구직,821_채용,822,822_구직,822_채용,823,823_구직,823_채용,824,824_구직,824_채용,825,825_구직,825_채용,826,826_구직,826_채용,831,831_구직,831_채용,832,832_구직,832_채용,833,833_구직,833_채용,834,834_구직,834_채용,835,835_구직,835_채용,836,836_구직,836_채용,841,841_구직,841_채용,842,842_구직,842_채용,851,851_구직,851_채용,852,852_구직,852_채용,853,853_구직,853_채용,861,861_구직,861_채용,862,862_구직,862_채용,864,864_구직,864_채용,871,871_구직,871_채용,872,872_구직,872_채용,873,873_구직,873_채용,881,881_구직,881_채용,882,882_구직,882_채용,883,883_구직,883_채용,885,885_구직,885_채용,890,890_구직,890_채용,901,901_구직,901_채용,전직종,전직종_구직,전직종_채용
2013.1/2,8343,168,155,43477,382,370,62607,589,576,25182,363,338,44292,698,656,8733,487,479,18495,539,538,24698,1517,1292,906154,26410,23954,906154,26410,23954,362949,14008,12698,497942,20300,17567,335749,32407,29222,41840,1179,1175,285719,9423,8860,536534,22526,19327,10244,494,451,30421,1547,1482,30421,1547,1482,24633,1200,1064,29148,1266,1144,145795,9889,7371,112395,5757,4668,29148,1266,1144,65348,2817,2433,241800,10832,9624,142647,6925,6369,18615,822,710,152117,6017,5176,37806,1886,1511,67363,2825,2380,3755,219,205,7136,412,227,49809,2082,1717,151078,10764,7932,156606,36360,36145,101580,8171,8162,31469,5226,5165,114709,9778,8979,117562,11360,11312,10819,640,493,20830,1184,1098,51616,4753,4595,152186,22186,21400,65686,6876,6513,11931,920,808,173198,16669,13578,21709,1649,1433,254079,22778,19179,291109,26145,23458,7139,345,318,17355,614,519,5442,194,194,8364,488,483,101269,8682,6215,28006,1484,1483,45393,2775,2466,20529,2211,1970,6370,335,287,12529,672,600,4895,462,406,3237,1048,909,112164,7934,7258,212501,27494,23108,33590,5084,4576,188731,16682,16014,375599,44013,40910,233462,20549,19653,40988,2831,2699,483252,20978,17931,236631,26670,24499,317360,37352,34544,89861,4821,4391,80729,10682,10045,23162,675,602,377312,33146,21835,45131,1369,1297,84710,5541,4707,120525,10753,9686,103878,6264,4775,34771,2786,2514,18599,1009,840,10683,262,229,90522,11461,11156,125624,4515,3275,67130,3002,2787,206996,16671,10627,26966,1217,1151,10537,385,357,69333,4193,3013,203257,12439,10303,74471,3418,2240,27678,2266,1597,28802,1555,1079,95686,8540,6250,54128,4363,2761,44625,2913,2398,64769,6246,5252,47133,2472,2112,16685,271,271,64728,3521,2878,131998,5007,3746,150925,14724,11554,47133,2472,2112,65348,2817,2433,30059,897,777,159099,10538,7353,14880,552,448,51763,3515,2242,45726,2482,1823,16273,497,435,13939,1111,865,46992,4588,2683,49812,3077,2460,23914,986,590,38340,1748,1410,15665,1135,801,55557,4135,3295,270028,25280,18870,12296,910,716,10050640,689241,590718
2013.2/2,7273,89,89,40089,446,445,58275,584,562,19017,301,228,39206,334,272,7627,198,194,18619,763,763,22266,973,943,933552,23920,22072,933552,23920,22072,370074,14645,13286,503776,20752,17583,352713,32062,28282,44821,946,781,270666,8655,7496,539009,21419,17956,10395,629,550,32257,1541,1386,32257,1541,1386,26488,1408,1183,26101,974,888,153707,7566,5857,107511,5006,4278,26101,974,888,72343,3372,2812,243968,11043,10171,141684,5336,4123,19269,515,420,158664,5669,4843,43342,1633,1348,69597,2689,2179,4544,58,58,8137,294,149,51303,2033,1691,149474,9719,7940,162152,40769,40644,94785,2467,2395,31475,579,530,111954,6497,6044,110338,4610,4526,12031,292,287,24493,994,866,56443,3157,2764,161680,8774,8227,64593,2252,1894,13108,945,795,178334,12867,9927,21590,1060,1016,259996,16918,13349,311603,23318,20605,8704,378,325,17586,444,392,6523,350,321,8112,138,121,98171,7686,6249,33682,1048,994,50989,1599,1495,21831,2389,2253,7443,363,343,13691,727,597,8501,833,688,4967,756,737,123508,8526,7583,211118,33543,29215,31461,3940,3640,201865,17064,16344,405223,29335,26291,255037,17526,16435,39102,2725,2592,498580,19227,16095,234722,25026,22355,328578,36180,32895,84461,6575,5846,93856,11154,10540,25905,815,784,385902,35876,22112,45620,1983,1758,81761,5833,4997,96076,13580,11942,110359,7573,6320,29376,5005,4791,18207,988,768,9698,295,280,98707,20435,19470,122692,5245,4447,72066,2826,2499,208761,15341,10880,28157,1205,1135,13559,422,376,66558,3213,2750,205213,9378,8134,76096,3882,2696,25809,2211,1370,33405,2199,1489,94581,7569,6153,47690,4132,2663,44415,2336,2080,68770,6406,5481,43110,2395,2079,17138,308,296,72647,3204,3028,127225,5677,4995,165124,13907,11363,43110,2395,2079,72343,3372,2812,30129,855,708,165580,12175,9753,16046,534,421,51952,3101,2402,43032,2420,1990,14082,1029,857,18932,1554,1356,44850,5096,3629,52984,3139,2098,22812,2034,1387,41510,2071,1682,18763,2071,1470,45289,2986,2557,287410,27942,21778,12204,606,508,10256347,664337,569628
2014.1/2,6416,86,85,36371,588,582,55851,945,932,18480,409,381,41356,653,591,11437,484,478,20638,392,301,29838,2053,1969,934771,28629,25776,934771,28629,25776,385771,14280,12967,518435,21378,18382,360085,41404,37941,41070,1136,1116,288293,10178,9655,545701,24132,20349,10646,831,639,30084,1562,1307,30084,1562,1307,22626,975,916,24594,1014,819,159676,10604,8415,118601,6154,5130,24594,1014,819,69582,4621,3783,240292,12026,11029,154205,5597,4493,21059,641,495,157508,5268,4549,44969,2237,1879,74810,3410,3093,4800,360,347,8199,351,308,56535,2551,2288,164974,10142,8889,164225,46622,46440,94445,8967,8947,31954,7382,7338,120906,11519,10523,107611,13875,13665,13326,787,728,24476,1545,1496,59098,6272,5928,169071,27596,27046,63716,6973,6629,12488,865,746,185039,17815,15279,22853,1504,1388,271278,24416,21618,320254,27817,26097,10202,566,455,18848,690,642,6151,295,288,7032,832,832,108439,7591,6601,41429,1496,1459,46756,1889,1758,23495,2573,2026,7404,493,417,12995,700,657,7374,679,589,5449,427,370,136286,9781,9055,217842,32264,28158,30493,5162,4644,210946,22893,22224,418257,51018,48914,254238,26392,24890,40947,4299,4058,503082,22947,19479,209757,21848,19991,302121,30993,28279,84911,5472,5043,92364,9145,8288,25818,628,598,385561,36140,22383,47510,1595,1470,87545,5779,4900,109264,11458,10737,116149,10794,9825,40810,3679,3276,19167,833,779,8904,267,264,96045,16138,15505,114658,4480,3626,74979,3659,3029,215777,15256,10977,30619,1951,1683,13592,290,197,66473,4186,2903,208069,10441,8247,73598,3588,2462,23805,2445,2120,28224,1620,774,97028,10006,8062,41137,2688,1924,40848,1965,1272,71578,6130,5091,48670,2188,1904,17725,188,174,77355,3774,3535,115388,4275,3373,149915,10683,8522,48670,2188,1904,69582,4621,3783,28838,873,759,158176,9518,7295,17618,464,416,48177,2291,1647,39558,1792,1733,18653,1230,1067,18005,1188,1002,42255,4139,3109,48538,2906,2006,23669,951,724,39023,1989,1631,19794,1853,1199,51832,2735,1912,313681,30993,24342,11351,1009,852,10432264,754985,661726
2014.2/2,7452,78,72,38319,371,345,57666,546,511,20482,302,272,43671,474,466,10963,356,341,22319,1032,1009,28185,2181,1757,946938,24746,22722,946938,24746,22722,386562,15353,14165,522868,21182,18815,371872,29808,26912,44498,1463,1277,287048,9439,8876,557320,23112,19309,10037,514,498,30558,1853,1639,30558,1853,1639,26659,815,619,31971,1214,1108,152887,8819,7555,132655,5870,5300,31971,1214,1108,63604,3137,2883,239492,10865,10096,155761,5264,4259,20681,449,377,166787,4586,4216,49052,1498,1235,74420,2590,2222,4480,89,88,8313,442,351,53552,1881,1675,165519,9511,8222,164332,33387,33315,97013,3406,3203,30487,557,526,128746,7061,5808,110998,5154,4924,14127,574,490,25954,1289,1289,63817,4311,3936,183956,10563,9535,65314,1660,1560,12422,646,460,190853,12919,10504,23066,1180,1080,281947,17341,14622,322352,24336,22256,11257,441,409,18892,1094,735,6378,223,216,10518,390,390,111967,7630,6547,41878,5885,5852,47391,1784,1608,22845,2768,1752,7554,436,333,14806,1031,975,6661,660,578,5682,440,405,142207,10779,9271,220624,36854,31504,29806,5197,4763,212626,18845,17961,433908,31906,28969,266833,19218,17982,43335,5098,4629,513590,20851,17264,222802,23594,21438,317637,33527,30550,91532,5568,4951,94835,9933,9112,26540,756,725,389144,39685,24041,52073,1891,1727,84722,5865,5010,117786,16510,15848,129870,21917,21415,45287,8258,8054,18317,591,561,8146,220,218,103708,21185,20352,122026,5875,5163,73265,3585,3014,213767,14785,11692,31627,1409,1373,12464,741,463,64340,3952,3324,211506,9440,7977,80853,4342,3411,22515,2380,2264,27055,1726,1411,93256,9686,7798,41968,2321,1763,41242,2075,1788,68899,9794,9207,50480,1914,1335,18824,432,388,85445,4040,3789,116626,5231,4278,144252,12701,11298,50480,1914,1335,63604,3137,2883,29255,604,464,158782,7706,6208,15998,421,365,46648,2114,1792,39883,1710,1659,13207,329,267,19556,1594,1482,50969,5448,4145,47302,2352,1880,25668,1112,990,39811,1960,1697,16903,1624,1262,47931,2486,2152,345806,28764,23328,11463,699,646,10678424,698742,612395
2015.1/2,6184,125,123,39111,535,523,60161,678,665,22229,509,497,40440,401,394,10449,269,225,20975,492,492,27146,1298,1243,991214,27969,26484,991214,27969,26484,400501,14633,13196,542582,22389,19348,379943,41468,38498,42823,1301,1202,290577,13041,12531,573014,25089,22398,11839,691,669,31792,1982,1812,31792,1982,1812,21006,1000,857,26612,1542,1331,156455,8622,7272,130204,6416,5637,26612,1542,1331,64311,3901,3631,253812,14737,13766,165834,7503,6537,20339,694,597,172467,6080,5081,47198,2021,1776,77237,4769,4520,4692,121,113,7608,527,411,57590,4080,3893,174922,12347,11081,169507,46911,46623,91064,10329,10320,32463,6182,6064,134308,12562,11869,102958,13559,13536,15526,467,457,28075,1035,980,68440,7457,7078,178064,30655,30183,67374,7290,7053,13421,897,837,195529,19857,17767,24968,1860,1808,289548,27632,25142,340658,28105,26465,11787,638,568,19141,988,912,5879,305,287,7722,620,303,117332,8267,7188,43361,4507,4405,48306,3103,2818,24585,2312,1906,10695,2323,2274,14025,1076,971,7731,774,691,5714,913,886,150406,12867,11784,241737,40220,36315,31782,5156,4855,215935,22902,22223,441221,53373,51381,276589,29132,28134,50773,6237,5963,538113,23526,21032,220600,22237,20211,320423,31773,29316,94511,5128,4699,99823,9536,9105,25472,589,557,415026,38325,23477,51678,1652,1357,84526,8561,7731,129083,11342,10685,146688,10725,9658,38633,7192,6939,16268,632,582,12510,232,163,114470,19597,19223,122598,4617,3530,76587,3272,2784,210783,10779,8282,31965,1608,1536,12196,188,175,69943,3332,2714,221713,10521,9227,74083,2958,2316,31922,2037,1729,30997,1346,1163,95773,9570,7631,38438,1820,1160,40170,1650,1237,72499,10465,9455,53071,2689,2571,20355,246,228,80014,4208,3914,117872,3445,3035,145086,7835,6970,53071,2689,2571,64311,3901,3631,31459,959,853,152133,8027,5780,16949,480,431,44878,1577,1269,39092,1107,785,14287,631,545,23901,1359,1134,50234,4095,2596,45061,2583,2163,22269,1096,853,38137,1459,1187,20391,1092,929,52136,2801,2153,347315,25714,20648,11196,1405,1219,10967146,785318,705943
2015.2/2,6750,58,58,42024,383,383,65128,574,556,22271,262,237,42836,560,521,8639,214,213,25854,978,974,30478,1571,1480,1032514,24996,23179,1032514,24996,23179,406130,15541,13854,559518,19564,16766,392670,33461,30140,42582,1369,1328,294670,10271,9592,581024,22029,18777,13620,689,658,32732,1764,1622,32732,1764,1622,24327,1087,819,32553,787,692,158323,9408,7253,135683,5550,4514,32553,787,692,75212,3210,2904,270846,13834,12634,168424,5118,4549,23216,500,461,180243,6385,5304,48987,1765,1533,88793,2893,2540,4745,182,107,8383,351,337,65325,2232,1969,181665,9394,8206,173484,43392,43173,95133,2819,2805,34000,940,925,129565,8100,7016,108589,4558,4508,16591,495,421,26810,1389,1377,72767,4622,3757,191501,13678,12651,69973,1782,1685,13671,651,579,199549,13751,11102,26144,1569,1381,295455,17891,14891,339124,26158,23109,12475,874,821,22528,1137,1093,5657,300,280,6948,515,308,116340,7162,6237,42569,3797,3664,51677,1833,1472,24190,2438,1976,10040,3046,2884,14977,927,719,8608,1007,935,6414,1169,1156,156020,9602,8593,249162,38654,32571,33943,2835,2528,228244,20455,19747,451476,36242,32442,294935,20760,18892,51976,4872,4447,547347,20413,17386,230691,22597,20745,327046,32954,30504,98239,7376,6833,96355,10357,9759,28056,700,597,443356,45003,25846,51034,1582,1528,78062,6198,4588,169328,13767,13295,145315,17164,16173,47867,7025,6985,19158,1126,890,8756,156,130,141965,33368,32719,125462,4736,3961,79854,3617,3212,204092,12297,8956,35118,1188,1068,11335,399,292,63391,3196,2627,216094,8414,7380,79010,3648,2960,29431,2408,2025,29315,1446,1169,97140,8945,7387,38559,1640,1363,39729,1829,1481,80310,10435,9934,51337,2105,1822,20638,331,308,85926,3259,3064,113292,2947,2503,146327,8343,7170,51337,2105,1822,75212,3210,2904,30803,650,586,155742,8016,6367,17225,400,342,44960,2192,1637,37931,1853,1432,14526,583,558,19994,1324,1268,48205,4326,3310,53828,2723,2216,21996,1787,1323,38577,1873,1666,22271,2261,1101,42298,1771,1372,342870,24797,21224,11334,649,428,11326946,715119,624539
2016.1/2,5874,75,75,38681,478,459,60313,826,727,21257,259,199,36790,458,454,10658,490,477,23134,561,559,28527,3054,2984,1083644,35944,32804,1083644,35944,32804,407083,16795,14819,560210,22140,18855,403217,45424,41943,45343,887,823,292669,14063,13014,578445,25706,21087,14915,1028,933,35146,2343,2077,35146,2343,2077,25037,634,587,30734,1498,1072,170171,10957,8985,136795,6269,5215,30734,1498,1072,73742,3371,2966,273878,16581,14446,152952,6236,5089,26235,666,567,181092,7301,6395,49625,2142,1854,92583,4249,3775,3526,82,82,7603,627,459,67646,3025,2667,183788,13964,11600,180554,39344,39155,88672,9907,9893,45577,9313,9313,109760,12061,11783,104038,13456,13413,13865,559,542,24797,1100,989,70905,8450,8078,209065,35142,34732,71275,8023,7751,12904,1335,1254,207037,23428,20355,27725,1763,1700,307369,32184,28564,388579,37739,34815,12262,1506,1486,18418,627,546,7052,456,409,8866,573,529,116142,10939,8933,26163,2242,1830,55586,4101,3948,27864,3369,2919,6243,635,576,16905,903,777,8067,790,693,6479,1601,1592,159515,13412,12363,248566,37720,32653,27092,3569,3277,210402,23730,22708,516605,67823,64648,317495,35674,33898,43229,7027,6375,537920,24792,20321,244193,25586,23724,366434,42076,39011,91889,6111,5796,122241,16490,15287,27114,1001,935,420981,40996,27345,60648,2029,1700,91340,6210,5472,123018,8959,7873,130465,14146,12912,30430,3352,3111,16023,1396,1174,8816,363,333,138673,20634,20133,112717,5656,4575,77474,3590,2794,207699,13418,9674,29634,1675,1573,13116,472,309,66842,2830,2303,231874,9903,8687,88028,3857,2886,24393,2964,2357,25328,1284,928,89343,6570,5362,36866,1771,1436,36367,1862,1447,94568,8647,6976,54081,3224,2889,20452,659,604,94068,5008,4764,120301,4252,3477,163824,10392,8995,54081,3224,2889,73742,3371,2966,25443,768,706,166977,10712,8347,17083,532,449,49354,1983,1548,42052,2746,2157,14721,709,673,19780,1598,1489,54081,4776,3560,52344,2574,2119,25241,1467,1328,35335,2262,1722,15355,783,675,53859,2989,2697,365111,29875,23714,13522,892,814,11481327,854766,758065
2016.2/2,5306,53,53,35558,417,406,55589,607,562,21281,417,384,35110,568,514,9835,304,289,24200,952,938,29472,1883,1594,1078459,29569,26346,1078459,29569,26346,417036,15485,13569,558153,20671,17775,424971,36136,33108,42177,1594,1541,303624,12032,11369,578249,22177,19006,15680,1067,1027,38795,1754,1715,38795,1754,1715,22249,498,325,28982,1026,818,169238,8301,6829,133939,5479,4712,28982,1026,818,72069,3811,3253,266344,13527,12263,160938,5079,4233,25366,785,595,180471,5783,5287,54444,2224,1856,91303,4230,3609,4420,565,318,6970,514,407,66108,2982,2502,194981,13099,9912,175573,30744,30635,91009,1969,1944,44841,731,710,108949,4787,4176,108116,3612,3520,14653,618,614,25541,1221,1212,77242,4376,4070,222417,12526,11401,71935,2357,2168,13147,769,636,209037,17714,13491,27629,1673,1561,310201,23152,18426,394589,31014,27971,14084,446,439,19221,721,625,7432,196,179,8807,274,274,128873,10117,7410,29121,1348,1265,61711,2791,2545,29878,3166,2501,8067,653,621,24194,2073,1977,8731,1438,1150,6341,2547,2523,168419,15053,13504,244589,36933,32425,34461,2951,2755,209137,19696,18967,535455,39094,35112,320989,22480,21542,49913,5898,5443,537079,21503,18402,245128,29905,26920,367131,46129,41753,92531,6420,6006,122003,16224,14833,30016,762,738,434055,36193,23451,65199,3048,2622,89401,6420,5425,138491,11128,10884,142049,17505,15786,43677,6446,6158,16584,866,824,5762,241,222,145832,27701,27279,111763,5338,4377,74692,4435,3806,212671,12700,8571,34716,2275,2121,14429,407,348,63820,2789,2323,217074,8475,7474,89227,3715,3066,28953,2737,2469,22850,1015,821,85959,5844,4601,37297,1161,890,41932,1926,1473,96316,10551,9941,56024,2821,2490,20516,329,309,94774,5615,5322,122709,4997,4200,150974,10579,8346,56024,2821,2490,72069,3811,3253,27270,768,718,163659,10073,7206,19353,1020,734,48420,1629,1236,38508,1593,1156,12865,403,358,21783,1588,1382,51125,4764,3599,47920,2592,2116,25737,1222,935,36952,2026,1367,13514,1001,742,50876,3031,2181,405173,35252,28643,13658,1210,1084,11657993,741122,645840
2017.1/2,5813,107,107,35276,494,489,55751,697,684,20347,293,292,33324,555,488,10482,671,490,24514,515,490,27854,1992,1822,1073300,32698,29644,1073300,32698,29644,416199,13826,12621,552544,21208,18371,422388,47565,44276,46612,1204,1144,286283,14172,13693,585488,25285,20970,15133,1355,1300,32425,2929,2554,32425,2929,2554,22667,551,494,29116,1440,1301,165397,9694,8131,138294,6604,5821,29116,1440,1301,68160,3116,2706,270377,15902,14435,155704,7291,6399,26697,1065,976,181671,7008,6368,54723,2046,1716,94200,4628,4236,4286,128,94,8214,533,460,68361,3024,2798,200020,15156,13575,173570,43652,43335,85699,8010,7954,45523,8864,8595,107743,9001,8525,100753,11024,10934,15684,532,456,27591,1364,1320,79516,9586,9225,233910,35077,34641,70925,8957,8594,14003,1092,984,217223,24127,20412,28479,1796,1743,322462,33138,28893,405061,35446,33059,13729,930,834,19706,893,876,8624,444,437,7713,591,534,131659,12132,10777,31208,1978,1738,66532,3854,3722,31591,3014,2648,8699,820,819,27866,1801,1740,10081,1386,1026,8196,1893,1885,167917,14398,13480,240380,35485,31869,37750,4538,4267,212048,27010,26557,554694,65103,62460,327529,33359,32504,48835,6986,6640,546209,23801,19490,234440,23616,21793,363704,39659,36108,96630,6193,5493,129264,16043,14315,29082,913,871,437577,39123,25223,64248,2947,2366,95521,7116,6099,125814,7600,7152,141646,12951,11725,42103,4223,4182,16419,1021,763,6183,456,214,159007,24224,23967,114956,5618,4365,74987,3305,2832,210308,13183,9346,35413,2847,2763,13115,360,330,57985,4156,3116,211400,9339,7676,82363,3981,2648,28620,2446,1984,23669,1431,1189,85534,5201,4105,42489,2562,2044,38344,3344,2255,92986,9041,8724,54367,3102,2785,19486,305,246,97320,5693,5346,116883,7095,5823,157544,11666,9549,54367,3102,2785,68160,3116,2706,29222,1133,989,161332,7913,6418,17549,494,436,47384,2220,1839,38783,1662,915,12705,671,603,20644,1573,1351,52349,3966,2902,48086,2854,2362,27033,1558,1173,35624,1629,1467,15446,1009,944,52108,2808,2505,414830,36099,26388,12438,1141,1073,11684473,855762,761886
2017.2/2,5994,68,67,37795,335,275,58620,564,498,20795,220,202,37025,375,332,10700,518,439,25196,1342,1233,27716,1681,1476,1092406,29045,27172,1092406,29045,27172,415866,15803,13849,553530,20202,17063,433014,36516,32891,45698,2258,2123,288829,9163,8690,566569,20844,17618,14638,642,596,34612,2932,2807,34612,2932,2807,23808,706,605,29501,1800,1670,169766,8778,7394,135176,6504,5938,29501,1800,1670,69858,3032,2709,272038,14137,12961,159623,4352,3458,25350,602,547,193266,5878,5328,54921,1827,1693,94343,4158,3750,4178,89,74,8245,719,435,69526,2749,2535,200928,12592,11060,172790,35912,35765,88700,2332,2325,47156,583,583,107688,4786,4360,103855,4292,4252,15695,435,363,26024,1066,1028,82750,6143,5902,260737,14489,13955,72732,2249,2035,14322,544,449,218967,17611,13777,29635,1643,1556,326968,23088,18830,415618,33525,30759,14900,833,810,20873,603,508,8672,316,289,9347,493,473,131402,9843,8525,34041,1618,1428,67199,2063,1922,29178,2751,2418,9524,1176,1037,25986,1219,1144,10037,1353,1189,9558,2453,2408,174543,11863,10356,236601,31575,28050,43081,4274,4080,231226,21354,20788,589969,44065,40946,331162,22602,21918,48332,4540,4143,536190,19683,16511,238447,29399,27973,366895,45700,42900,97670,5346,4733,128448,16301,14927,30350,943,911,434016,37067,23012,63418,2314,1811,93212,7324,6076,129241,10395,10116,144934,17932,16877,42525,3798,3702,15620,644,630,7928,207,105,143067,23218,23091,117422,5599,4389,77094,4127,3603,214293,13132,9746,36421,1906,1836,14212,788,708,62722,4587,3994,218944,8928,7881,79512,2898,2051,26715,3362,2558,25424,1347,604,84695,5198,3853,42095,2198,1795,40769,3073,2645,96549,5747,4982,53567,2638,1874,21682,349,322,98354,5214,4993,117507,6685,5503,158722,9081,8011,53567,2638,1874,69858,3032,2709,30867,1191,932,151452,6819,5614,18444,468,427,46432,2445,1781,40375,1155,1106,15332,371,325,21482,1659,1349,53875,4088,3138,53250,3122,2535,26009,740,697,31476,1612,1089,15124,914,673,47825,2575,1813,399831,34194,28509,12658,1169,1016,11803864,724964,639912
2018.1/2,6509,176,175,39075,563,549,61150,980,953,21977,478,471,35855,560,497,9624,484,318,25587,495,487,27598,2011,1461,1109539,32941,30156,1109539,32941,30156,420711,16121,14579,550567,20729,18051,440728,47345,43417,45511,1408,1306,292561,13851,13352,583914,24878,20961,14163,916,858,37278,2806,2499,37278,2806,2499,22922,1622,1224,30117,2140,1914,176372,10028,8552,148759,8472,7158,30117,2140,1914,67152,4232,4096,282149,14511,13260,156116,4876,3979,22782,861,820,195311,8091,6950,55931,2509,2081,96749,4350,3991,3342,105,96,9144,502,435,70479,2717,2458,197824,12361,10584,167607,43717,43493,85095,9120,9075,51223,8018,7980,120791,9789,9241,99521,12315,12247,15396,544,447,27135,889,870,87748,9995,9478,279737,40040,37913,76074,8758,8190,15270,1449,1319,232079,24356,20220,32071,2411,2287,344749,33665,29000,437374,38914,36078,15300,1041,924,21218,1093,920,8501,605,581,7035,685,685,127345,9644,8126,34270,1986,1803,65034,3385,3098,30064,2921,2593,7275,1003,941,24265,1646,1470,10284,1241,1048,7612,2599,2574,181994,12953,11730,252707,34416,30588,42800,3491,3410,227868,24220,23672,626151,72659,68061,336321,33353,32500,52753,7175,6884,537175,21813,17896,232924,25930,23741,360126,39558,36458,98567,6724,6494,127202,13628,12717,31448,1465,1445,443460,38883,25215,65064,2927,2359,99759,7318,6348,120945,9657,9261,134305,7737,6348,49988,3477,3462,17031,845,808,6436,392,388,171356,21434,21097,114964,6405,5422,77083,3262,2809,217664,11762,9379,35997,2048,1856,15358,514,396,62738,4503,3924,212711,9588,8408,77078,3632,2967,27179,1533,1009,25929,1574,1019,80249,5921,4530,41078,1671,1419,42099,2040,1750,87805,7121,6705,50392,2393,2268,22206,232,230,103083,7228,6826,118554,6298,5164,149721,9022,7879,50392,2393,2268,67152,4232,4096,30027,1178,848,159166,7852,6371,18720,714,603,43795,1879,1510,41620,1711,1618,14399,453,339,15560,1341,1251,58529,5155,3424,55039,2814,2348,27442,1163,999,31999,1688,1107,14675,548,511,50988,2454,2019,409838,35674,28724,14632,1939,1735,11984990,845775,755574
